,Desc_word_count,channelSubscribers,dayslive,mean_energy_entropy,mean_spectral_entropy,Description_ne_counts,Title_ne_counts,tags_composer,Title_composer,Description_composer,tags_artists,Title_artists,Description_artists,tags_instruments,Title_instruments,Description_instruments,tags_genres,Title_genres,Description_genres,tags_count,Title_pos,Description_pos,tags_pos,mfccPC1,mfccPC2,views_cat,viewCount
1445,25,5252.0,2499.983877314815,3.1738443811062007,0.3283670260390397,7,1,2,2,1,0,0,0,1,0,0,0,0,0,4,0.0,0.0,0.0,0.8981164495881926,-0.47017402304567196,1,653.0
1446,23,10596.0,2888.5655787037035,3.2358600518698126,0.6550090861370723,11,8,5,5,6,0,1,2,1,0,0,0,0,0,13,-0.05,-0.025,0.0,0.8432096870153492,1.8821353871469564,3,126425.0
1447,26,5469.0,58.752615740740744,3.2337103698045735,0.501502934628531,4,5,0,0,0,0,1,1,3,0,0,0,0,0,15,0.16,0.17,0.0,-1.5343505363691605,0.4423652055415706,1,1112.0
1448,15,0.0,1117.0335416666667,3.194711582577737,0.458972833419693,7,4,0,4,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,1.317618729597808,-0.8551026277384124,1,1963.0
1449,9,56.0,2829.200462962963,3.2096022528063552,0.8588090832906543,6,4,0,0,0,0,0,0,1,1,1,0,0,0,9,0.0,0.05,0.05,-1.5349765267878317,1.417607638845891,3,20940.0
1450,28,0.0,1285.4255324074074,3.2359155650360525,0.4919310270932505,16,9,0,0,0,0,0,0,0,1,1,0,0,0,2,-0.05,-0.05,-0.025,-1.0486624773311166,-0.6543612759890203,0,8.0
1451,18,143295.0,1192.1222569444444,3.2171305866082185,0.2666986362906213,7,4,1,0,1,0,0,0,1,1,0,0,0,0,20,-0.2,0.25,-0.0066666666666666706,0.012482084373615674,0.4701236755249497,3,66019.0
1452,28,3.0,1634.9177083333334,3.18483383878333,0.10254993132919347,18,4,0,0,4,0,0,0,0,1,2,0,0,0,8,0.0,0.0,0.0,2.7690391810575323,0.5346918234545472,0,22.0
1453,29,1257.0,1205.4066782407408,3.2056547289956097,0.4827144339603589,12,6,0,0,0,0,0,0,0,0,0,0,0,0,7,-0.05,-0.025,0.1,-1.0340138642121266,0.5777803977640944,0,77.0
1454,28,0.0,1416.9834606481481,3.20662811201104,0.17267252336821284,15,6,0,0,1,0,0,0,1,0,1,0,0,0,12,0.0625,0.09962121212121211,0.1,0.33087514143979824,0.2832430803568321,0,17.0
